title_id,job_title
1,Data DevOps Engineer
2,Data Architect
3,Data Scientist
4,Machine Learning Researcher
5,Data Engineer
6,Machine Learning Engineer
7,Data Analyst
8,Analytics Engineer
9,Applied Scientist
10,BI Developer
11,Business Intelligence Engineer
12,Research Scientist
13,Research Analyst
14,Research Engineer
15,Data Science Engineer
16,Data Quality Analyst
17,Data Product Manager
18,Machine Learning Scientist
19,AI Engineer
20,MLOps Engineer
21,Deep Learning Engineer
22,Data Modeler
23,Data Product Owner
24,Data Science Consultant
25,Business Intelligence Analyst
26,AI Developer
27,Data Manager
28,ML Engineer
29,Data Science Director
30,Head of Data
31,BI Analyst
32,Data Management Analyst
33,Machine Learning Modeler
34,Data Specialist
35,BI Data Analyst
36,Data Integration Engineer
37,Business Intelligence Manager
38,Data Integration Specialist
39,Data Science Practitioner
40,Business Intelligence Developer
41,AI Research Engineer
42,Data Lead
43,Data Management Specialist
44,AI Architect
45,Data Science Manager
46,Data Strategist
47,Business Intelligence Specialist
48,Machine Learning Infrastructure Engineer
49,Data Quality Engineer
50,Director of Data Science
51,Business Data Analyst
52,Decision Scientist
53,Financial Data Analyst
54,Data Strategy Manager
55,Computer Vision Engineer
56,Data Visualization Specialist
57,Insight Analyst
58,Data Visualization Engineer
59,ETL Developer
60,Data Analytics Manager
61,Azure Data Engineer
62,Data Developer
63,Principal Data Scientist
64,Data Science Lead
65,Staff Data Analyst
66,Data Infrastructure Engineer
67,Machine Learning Software Engineer
68,Machine Learning Operations Engineer
69,AI Scientist
70,Head of Machine Learning
71,Applied Data Scientist
72,AI Programmer
73,Data Operations Analyst
74,Applied Machine Learning Scientist
75,Data Analytics Lead
76,Data Operations Engineer
77,Machine Learning Manager
78,Lead Data Scientist
79,Principal Machine Learning Engineer
80,Principal Data Engineer
81,Power BI Developer
82,Head of Data Science
83,Staff Machine Learning Engineer
84,Staff Data Scientist
85,Consultant Data Engineer
86,Machine Learning Specialist
87,Business Intelligence Data Analyst
88,Data Operations Manager
89,Lead Machine Learning Engineer
90,Managing Director Data Science
91,Data Modeller
92,Finance Data Analyst
93,Software Data Engineer
94,Machine Learning Research Engineer
95,Compliance Data Analyst
96,Data Operations Specialist
97,Cloud Data Engineer
98,Analytics Engineering Manager
99,NLP Engineer
100,AWS Data Architect
101,Product Data Analyst
102,Machine Learning Developer
103,Data Visualization Analyst
104,Autonomous Vehicle Technician
105,Sales Data Analyst
106,Applied Machine Learning Engineer
107,ETL Engineer
108,Big Data Engineer
109,Lead Data Analyst
110,BI Data Engineer
111,Cloud Database Engineer
112,Deep Learning Researcher
113,Data Analytics Specialist
114,Big Data Architect
115,Computer Vision Software Engineer
116,Marketing Data Engineer
117,Manager Data Management
118,Data Analytics Consultant
119,Data Science Tech Lead
120,Data Scientist Lead
121,Marketing Data Analyst
122,Data Analytics Engineer
123,Cloud Data Architect
124,Lead Data Engineer
125,Principal Data Analyst
