location_id,company_location
1,Germany
2,United States of America
3,United Kingdom
4,Canada
5,Spain
6,Ireland
7,South Africa
8,Poland
9,France
10,Netherlands
11,Luxembourg
12,Lithuania
13,Portugal
14,Gibraltar
15,Australia
16,Colombia
17,Ukraine
18,Slovenia
19,Romania
20,Greece
21,India
22,Latvia
23,Mauritius
24,Russia
25,Italy
26,South Korea
27,Estonia
28,Czech Republic
29,Brazil
30,Qatar
31,Kenya
32,Denmark
33,Ghana
34,Sweden
35,Turkey
36,Switzerland
37,Andorra
38,Ecuador
39,Mexico
40,Israel
41,Nigeria
42,Saudi Arabia
43,Argentina
44,Japan
45,Central African Republic
46,Finland
47,Singapore
48,Croatia
49,Armenia
50,Bosnia and Herzegovina
51,Pakistan
52,Iran
53,Bahamas
54,Austria
55,Puerto Rico
56,American Samoa
57,Thailand
58,Philippines
59,Belgium
60,Egypt
61,Indonesia
62,United Arab Emirates
63,Malaysia
64,Honduras
65,Algeria
66,Iraq
67,China
68,New Zealand
69,Moldova
70,Malta
